name,name,lang,name_lang,200107,200108,200109,200110,200111,200112,200201,200202,200203,200204,200205,200206,200207,200208,200209,200210,200211,200212,200301,200302,200303,200304,200305,200306,200307,200308,200309,200310,200311,200312,200401,200402,200403,200404,200405,200406,200407,200408,200409,200410,200411,200412,200501,200502,200503,200504,200505,200506,200507,200508,200509,200510,200511,200512,200601,200602,200603,200604,200605,200606,200607,200608,200609,200610,200611,200612,200701,200702,200703,200704,200705,200706,200707,200708,200709,200710,200711,200712,200801,200802,200803,200804,200805,200806,200807,200808,200809,200810,200811,200812,200901,200902,200903,200904,200905,200906,200907,200908,200909,200910,200911,200912,201001,201002,201003,201004,201005,201006,201007,201008,201009,201010,201011,201012,201101,201102,201103,201104,201105,201106,201107,201108,201109,201110,201111,201112,201201,201202,201203,201204,201205,201206,201207,201208,201209,201210,201211,201212,201301,201302,201303,201304,201305,201306,201307,201308,201309,201310,201311,201312,201401,201402,201403,201404,201405,201406,201407,201408,201409,201410,201411,201412,201501,201502,201503,201504,201505,201506,201507,201508,201509,201510,201511,201512,201601,201602,201603,201604,201605,201606,201607,201608,201609,201610,201611,201612,201701,201702,201703,201704,201705,201706,201707,201708,201709,201710,201711,201712,201801,201802,201803,201804,201805,201806,201807
OSI_model,OSI_model,en,OSI_model,0,0,0,0,0,0,6,2,0,8,4,2,0,0,2,1,3,2,1,2,5,0,4,0,2,0,3,7,4,3,7,6,5,11,7,8,12,6,13,17,8,5,12,17,7,6,29,16,20,52,34,20,64,87,48,100,53,83,118,110,81,90,77,80,68,77,80,125,126,154,75,105,47,50,39,87,91,46,59,86,106,76,42,72,82,47,68,77,90,66,57,73,88,68,65,41,43,38,51,55,45,45,48,66,51,112,36,77,65,43,37,53,66,77,28,24,31,28,23,43,8,27,35,46,35,17,17,48,19,33,20,30,23,20,55,30,27,16,34,32,31,26,47,35,9,39,29,42,31,31,14,35,27,33,30,33,25,46,18,26,26,18,40,28,36,16,17,6,23,40,38,25,39,30,22,44,42,30,32,39,12,5,81,25,17,25,28,57,4,15,5,7,16,25,13,28,12,11,3,5,23,6,5,23,4
Algorithm,Algorithm,en,Algorithm,0,0,0,0,1,7,7,4,1,2,0,0,4,1,2,3,14,1,13,5,1,0,2,4,7,5,9,13,8,3,5,4,5,12,5,11,9,58,8,10,13,9,14,6,8,18,13,7,19,52,24,13,15,15,89,110,44,33,33,74,41,101,38,38,48,32,22,36,41,14,15,37,52,43,33,28,48,40,11,38,55,39,20,23,20,32,33,31,37,24,24,28,36,31,30,22,27,27,39,59,25,25,25,20,18,19,21,20,43,30,20,25,35,12,29,61,16,35,12,9,11,28,26,11,9,22,23,39,15,10,18,35,12,11,11,13,12,27,19,14,21,20,9,22,25,16,19,25,34,19,16,32,5,12,23,14,11,5,7,16,25,19,15,13,37,6,13,3,18,16,7,11,28,21,28,23,8,6,20,15,19,8,27,35,19,8,29,11,10,24,9,18,18,13,8,31,21,21,7,6,13,22,10,13,13
Intelligent_environment,Intelligent_environment,en,Intelligent_environment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,0,1,0,0,1,1,2,0,3,14,5,2,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,4,1,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,4,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
Secure_Real-time_Transport_Protocol,Secure_Real-time_Transport_Protocol,en,Secure_Real-time_Transport_Protocol,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,0,2,3,7,1,1,2,4,0,2,1,1,0,1,5,5,5,2,6,1,3,0,1,0,2,1,6,3,0,10,2,6,0,3,0,0,3,0,0,0,1,0,0,0,0,0,0,2,2,0,0,2,0,0,0,0,0,0,2,0,0,2,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,2,0,0,0,1,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,4,1,6,1,0,3,0,1
Transparent_Network_Substrate,Transparent_Network_Substrate,en,Transparent_Network_Substrate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,2,3,2,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,1,0,0,1,0,0,0,1,0,0,0,0,2,0,0,1,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
Ad_hoc_network,Ad_hoc_network,en,Ad_hoc_network,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,0,0,0,0,0,0,0,0,0
Incident_Object_Description_Exchange_Format,Incident_Object_Description_Exchange_Format,en,Incident_Object_Description_Exchange_Format,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,2,1,0,1,0,2,2,0,0,0
Global_Positioning_System,Global_Positioning_System,en,Global_Positioning_System,0,0,0,0,0,1,0,5,1,8,3,2,1,3,0,2,0,2,4,8,15,0,6,5,4,22,4,0,5,1,1,1,1,16,2,10,13,22,6,23,13,22,11,16,16,26,31,26,17,33,30,43,44,42,99,125,136,72,41,115,87,69,139,180,88,110,277,165,69,90,107,76,66,40,57,200,140,114,132,60,72,124,71,82,87,113,134,158,108,125,113,121,77,46,98,38,47,29,125,57,72,55,75,58,48,29,71,115,82,83,45,40,83,42,31,41,80,30,62,63,42,42,24,50,76,65,39,50,31,52,37,30,30,38,25,76,51,28,37,24,27,29,29,30,27,18,43,32,30,16,47,24,17,6,31,19,22,9,20,20,21,57,12,33,56,39,28,23,41,15,28,54,46,19,15,13,30,24,28,23,14,16,23,13,29,21,14,28,22,24,35,19,17,28,6,17,37,21,17,20,16,47,12,14,13
Internet_service_provider,Internet_service_provider,en,Internet_service_provider,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,6,0,2,0,0,1,2,2,2,1,0,1,3,1,1,1,4,4,1,4,1,4,5,11,6,3,9,16,9,12,13,49,38,103,16,26,1,15,20,15,26,20,47,55,22,17,22,15,19,26,37,11,11,4,16,25,35,7,7,21,12,13,13,13,18,55,18,20,14,8,17,28,6,8,7,11,4,13,7,15,24,15,11,10,18,13,25,7,0,5,6,24,17,17,11,3,7,20,6,7,7,8,16,8,14,8,7,13,3,6,3,14,9,6,11,9,10,15,6,11,22,17,8,1,6,15,4,12,21,18,11,13,5,17,25,6,0,4,8,12,2,5,10,7,23,22,10,2,9,7,3,6,2,6,4,16,7,7,10,10,12,4,11,7,8,0,10,10,13,3,6,9,9,3,19,6,12,6,7,5,2,13,7,7,7
Equal-cost_multi-path_routing,Equal-cost_multi-path_routing,en,Equal-cost_multi-path_routing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,1,0,0,1,0,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,1,1,0,0,0,1,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,2,1,0,0,1,0,1,0,0,1,0,1,0,0,0,0,2,1,0,0,0,0,0,0,1,0,0,0,2,0,2,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0
Real-time_Transport_Protocol,Real-time_Transport_Protocol,en,Real-time_Transport_Protocol,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2,2,0,2,0,1,2,5,7,4,1,2,2,0,4,4,7,4,6,3,1,3,5,2,3,4,8,7,3,5,5,6,3,3,8,2,0,1,2,15,8,7,3,0,2,5,6,3,6,1,5,1,12,3,9,0,5,3,2,8,4,9,80,6,8,9,5,3,8,4,3,2,8,5,1,6,2,2,5,1,10,4,5,6,3,2,1,1,0,0,3,0,5,2,1,6,3,0,4,1,1,0,1,3,5,2,4,4,1,1,0,2,15,6,2,7,0,4,3,7,1,7,2,1,1,2,0,4,1,0,2,4,1,7,3,0,0,3,4,11,2,1,5,3,8,2,0,0,5,2,0,0,0,3,3,0,0,3,0,0,0,3,1,3,2,1,2,1,2,2,1,5,0,1
Semantic_analysis_(machine_learning),Semantic_analysis_(machine_learning),en,Semantic_analysis_(machine_learning),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0
Cognitive_robotics,Cognitive_robotics,en,Cognitive_robotics,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,7,2,0,0,0,0,10,0,1,1,0,1,3,0,1,0,5,4,4,3,0,1,0,13,0,0,0,7,3,0,0,2,4,1,0,0,1,0,1,0,0,0,0,1,4,0,0,4,1,0,1,1,0,0,0,0,3,0,0,0,0,2,0,1,0,0,3,1,1,0,0,0,1,0,3,0,0,1,0,4,1,3,0,0,1,1,0,2,0,0,0,0,2,3,0,0,1,2,6,0,0,0,1,0,0,0,1,0,1,0,2,0,0,0,0,1,1,0,5,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,3,0,0,0,0,1,1,2,0,0,0,0
Dataflow,Dataflow,en,Dataflow,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,1,1,2,1,0,0,7,1,0,15,2,1,3,1,2,2,5,3,15,3,6,1,1,0,6,4,3,3,4,4,1,2,4,14,2,3,2,4,1,1,9,2,5,3,6,2,1,1,5,3,0,2,3,0,0,1,2,0,0,2,1,0,2,0,2,4,0,3,3,0,3,0,1,2,0,0,1,1,0,0,2,0,0,1,0,4,0,1,0,0,1,0,4,0,1,0,2,0,2,7,4,1,2,0,1,4,0,0,0,0,0,0,0,1,0,0,0,3,3,0,1,0,0,2,3,5,0,0,1,0,1,0,0,2,1,2,0,1,0,2,2,3,0,1,0,0,0,3,1,0,0,2,2,0,0,2,3,0
Internet_of_things,Internet_of_things,en,Internet_of_things,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,1,0,2,2,5,0,2,1,5,21,6,0,2,3,4,3,7,19,2,1,25,2,4,1,3,2,6,5,5,10,0,4,8,9,6,2,9,2,14,20,6,4,3,15,22,10,6,7,4,6,7,5,2,6,10,13,3,6,8,5,4,13,8,11,18,62,9,7,12,32,16,20,41,25,25,27,40,42,67,20,21,15,22,14,35,46,42,9,23,58,22,58,40,63,37,33,69,56,61,51,34,58,62,35,72,109,77,29,42,40,57,29,55,43,31,57,34,46,75,29,30,32,40,63,23,92
