t_survey_name,t_survey_edition,t_country_l1u,t_country_set,t_country_year,t_gender,t_age,t_edu,t_school_yrs,t_case_id,t_weight_l1u_2,s_income_hh,t_income_hh,t_income_hh_rank_100,t_income_hh_prop_100,t_income_hh_distrib,c_income_hh_scale_length,s_income_personal,t_income_personal,t_income_personal_rank_100,t_income_personal_prop_100,t_income_personal_distrib,c_income_personal_scale_length,survey,hhinc_prop_mis,persinc_prop_mis,hhinc_kurt,hhinc_skew,hhinc_scale_length,persinc_kurt,persinc_skew,persinc_scale_length,pcor_hhinc_persinc,scor_hhinc_persinc
AFB,2,MZ,1,2002,1,,0,,20781,0.31810000538826,0,0,0,0,25,7,"",,,,,,AFB2MZ1,0.394435707233537,0.768177330432579,0.31585623035684,0.986955396496811,7,,,,,
AFB,2,MZ,1,2002,0,36,30,,21353,0.470519989728928,0,0,0,0,25,7,"",,,,,,AFB2MZ1,0.394435707233537,0.768177330432579,0.31585623035684,0.986955396496811,7,,,,,
AFB,2,MZ,1,2002,1,18,10,,21458,0.738910019397736,0,0,0,0,25,7,"",,,,,,AFB2MZ1,0.394435707233537,0.768177330432579,0.31585623035684,0.986955396496811,7,,,,,
AFB,2,MZ,1,2002,1,23,30,,21480,0.538689970970154,0,0,0,0,25,7,"",,,,,,AFB2MZ1,0.394435707233537,0.768177330432579,0.31585623035684,0.986955396496811,7,,,,,
AFB,2,MZ,1,2002,0,49,0,,21536,0.260960012674332,0,0,0,0,25,7,"",,,,,,AFB2MZ1,0.394435707233537,0.768177330432579,0.31585623035684,0.986955396496811,7,,,,,
AFB,2,MZ,1,2002,0,,0,,21622,0.61081999540329,0,0,0,0,25,7,"",,,,,,AFB2MZ1,0.394435707233537,0.768177330432579,0.31585623035684,0.986955396496811,7,,,,,
AFB,2,MZ,1,2002,1,,0,,21623,0.61081999540329,0,0,0,0,25,7,"",,,,,,AFB2MZ1,0.394435707233537,0.768177330432579,0.31585623035684,0.986955396496811,7,,,,,
AFB,2,MZ,1,2002,1,,0,,21624,0.61081999540329,0,0,0,0,25,7,"",,,,,,AFB2MZ1,0.394435707233537,0.768177330432579,0.31585623035684,0.986955396496811,7,,,,,
AFB,2,MZ,1,2002,0,48,30,,21703,0.320699989795685,0,0,0,0,25,7,"",,,,,,AFB2MZ1,0.394435707233537,0.768177330432579,0.31585623035684,0.986955396496811,7,,,,,
AFB,2,MZ,1,2002,1,40,0,,21827,2.62286996841431,0,0,0,0,25,7,"",,,,,,AFB2MZ1,0.394435707233537,0.768177330432579,0.31585623035684,0.986955396496811,7,,,,,
AFB,2,MZ,1,2002,1,54,0,,21838,0.818599998950958,0,0,0,0,25,7,"",,,,,,AFB2MZ1,0.394435707233537,0.768177330432579,0.31585623035684,0.986955396496811,7,,,,,
AFB,2,MZ,1,2002,1,25,0,,21920,0.666930019855499,0,0,0,0,25,7,"",,,,,,AFB2MZ1,0.394435707233537,0.768177330432579,0.31585623035684,0.986955396496811,7,,,,,
AFB,2,MZ,1,2002,1,,0,,21902,1.36491000652313,0,0,0,0,25,7,"",,,,,,AFB2MZ1,0.394435707233537,0.768177330432579,0.31585623035684,0.986955396496811,7,,,,,
AFB,2,MZ,1,2002,0,44,10,,21178,1.24003994464874,0,0,0,0,25,7,"",,,,,,AFB2MZ1,0.394435707233537,0.768177330432579,0.31585623035684,0.986955396496811,7,,,,,
AFB,2,MZ,1,2002,1,18,0,,21287,1.56628000736237,0,0,0,0,25,7,"",,,,,,AFB2MZ1,0.394435707233537,0.768177330432579,0.31585623035684,0.986955396496811,7,,,,,
AFB,2,MZ,1,2002,0,27,10,,21910,1.36491000652313,0,0,0,0,25,7,"",,,,,,AFB2MZ1,0.394435707233537,0.768177330432579,0.31585623035684,0.986955396496811,7,,,,,
AFB,2,MZ,1,2002,1,26,0,,21403,0.309320002794266,0,0,0,0,25,7,"",,,,,,AFB2MZ1,0.394435707233537,0.768177330432579,0.31585623035684,0.986955396496811,7,,,,,
AFB,2,MZ,1,2002,1,25,10,,21696,0.555739998817444,0,0,0,0,25,7,"",,,,,,AFB2MZ1,0.394435707233537,0.768177330432579,0.31585623035684,0.986955396496811,7,,,,,
AFB,2,MZ,1,2002,1,,0,,20807,2.67389988899231,0,0,0,0,25,7,"",,,,,,AFB2MZ1,0.394435707233537,0.768177330432579,0.31585623035684,0.986955396496811,7,,,,,
AFB,2,MZ,1,2002,0,20,0,,21072,1.32714998722076,0,0,0,0,25,7,"",,,,,,AFB2MZ1,0.394435707233537,0.768177330432579,0.31585623035684,0.986955396496811,7,,,,,
AFB,2,MZ,1,2002,1,,0,,21177,1.24003994464874,0,0,0,0,25,7,"",,,,,,AFB2MZ1,0.394435707233537,0.768177330432579,0.31585623035684,0.986955396496811,7,,,,,
AFB,2,MZ,1,2002,0,33,0,,21203,1.88819003105164,0,0,0,0,25,7,"",,,,,,AFB2MZ1,0.394435707233537,0.768177330432579,0.31585623035684,0.986955396496811,7,,,,,
AFB,2,MZ,1,2002,0,32,0,,21840,0.818599998950958,0,0,0,0,25,7,"",,,,,,AFB2MZ1,0.394435707233537,0.768177330432579,0.31585623035684,0.986955396496811,7,,,,,
AFB,2,MZ,1,2002,0,37,0,,21851,1.13573002815247,0,0,0,0,25,7,"",,,,,,AFB2MZ1,0.394435707233537,0.768177330432579,0.31585623035684,0.986955396496811,7,,,,,
AFB,2,MZ,1,2002,1,45,0,,21886,0.789510011672974,0,0,0,0,25,7,"",,,,,,AFB2MZ1,0.394435707233537,0.768177330432579,0.31585623035684,0.986955396496811,7,,,,,
