survey,t_survey_name,t_survey_edition,t_income_hh_prop_100
EQLS3PL1,EQLS,3,0
EQLS3PL1,EQLS,3,0.910000026226044
EQLS3PL1,EQLS,3,1.16999995708466
EQLS3PL1,EQLS,3,1.16999995708466
EQLS3PL1,EQLS,3,1.17999994754791
EQLS3PL1,EQLS,3,1.17999994754791
EQLS3PL1,EQLS,3,1.17999994754791
EQLS3PL1,EQLS,3,1.17999994754791
EQLS3PL1,EQLS,3,1.17999994754791
EQLS3PL1,EQLS,3,1.17999994754791
EQLS3PL1,EQLS,3,1.17999994754791
EQLS3PL1,EQLS,3,1.17999994754791
EQLS3PL1,EQLS,3,1.17999994754791
EQLS3PL1,EQLS,3,1.26999998092651
EQLS3PL1,EQLS,3,1.37999999523163
EQLS3PL1,EQLS,3,1.58000004291534
EQLS3PL1,EQLS,3,1.58000004291534
EQLS3PL1,EQLS,3,1.58000004291534
EQLS3PL1,EQLS,3,1.75
EQLS3PL1,EQLS,3,1.78999996185303
EQLS3PL1,EQLS,3,1.86000001430511
EQLS3PL1,EQLS,3,1.86000001430511
EQLS3PL1,EQLS,3,1.86000001430511
EQLS3PL1,EQLS,3,1.86000001430511
EQLS3PL1,EQLS,3,1.86000001430511
EQLS3PL1,EQLS,3,1.86000001430511
EQLS3PL1,EQLS,3,1.86000001430511
EQLS3PL1,EQLS,3,1.86000001430511
EQLS3PL1,EQLS,3,1.86000001430511
EQLS3PL1,EQLS,3,2
EQLS3PL1,EQLS,3,2
EQLS3PL1,EQLS,3,2
EQLS3PL1,EQLS,3,2.25
EQLS3PL1,EQLS,3,2.42000007629395
EQLS3PL1,EQLS,3,2.42000007629395
EQLS3PL1,EQLS,3,2.42000007629395
EQLS3PL1,EQLS,3,2.42000007629395
EQLS3PL1,EQLS,3,2.42000007629395
EQLS3PL1,EQLS,3,2.51999998092651
EQLS3PL1,EQLS,3,2.51999998092651
EQLS3PL1,EQLS,3,2.53999996185303
EQLS3PL1,EQLS,3,2.55999994277954
EQLS3PL1,EQLS,3,2.71000003814697
EQLS3PL1,EQLS,3,2.74000000953674
EQLS3PL1,EQLS,3,2.74000000953674
EQLS3PL1,EQLS,3,2.74000000953674
EQLS3PL1,EQLS,3,2.74000000953674
EQLS3PL1,EQLS,3,2.74000000953674
EQLS3PL1,EQLS,3,2.74000000953674
EQLS3PL1,EQLS,3,2.74000000953674
EQLS3PL1,EQLS,3,2.74000000953674
EQLS3PL1,EQLS,3,2.74000000953674
EQLS3PL1,EQLS,3,2.74000000953674
EQLS3PL1,EQLS,3,2.74000000953674
EQLS3PL1,EQLS,3,2.74000000953674
EQLS3PL1,EQLS,3,2.74000000953674
EQLS3PL1,EQLS,3,2.74000000953674
EQLS3PL1,EQLS,3,2.74000000953674
EQLS3PL1,EQLS,3,2.74000000953674
EQLS3PL1,EQLS,3,2.8199999332428
EQLS3PL1,EQLS,3,2.83999991416931
EQLS3PL1,EQLS,3,2.83999991416931
EQLS3PL1,EQLS,3,2.83999991416931
EQLS3PL1,EQLS,3,2.92000007629395
EQLS3PL1,EQLS,3,2.95000004768372
EQLS3PL1,EQLS,3,2.96000003814697
EQLS3PL1,EQLS,3,2.96000003814697
EQLS3PL1,EQLS,3,3
EQLS3PL1,EQLS,3,3
EQLS3PL1,EQLS,3,3
EQLS3PL1,EQLS,3,3.03999996185303
EQLS3PL1,EQLS,3,3.03999996185303
EQLS3PL1,EQLS,3,3.08999991416931
EQLS3PL1,EQLS,3,3.23000001907349
EQLS3PL1,EQLS,3,3.25
EQLS3PL1,EQLS,3,3.25
EQLS3PL1,EQLS,3,3.25
EQLS3PL1,EQLS,3,3.25
EQLS3PL1,EQLS,3,3.25
EQLS3PL1,EQLS,3,3.25
EQLS3PL1,EQLS,3,3.25
EQLS3PL1,EQLS,3,3.25
EQLS3PL1,EQLS,3,3.25
EQLS3PL1,EQLS,3,3.25
EQLS3PL1,EQLS,3,3.25
EQLS3PL1,EQLS,3,3.25
EQLS3PL1,EQLS,3,3.33999991416931
EQLS3PL1,EQLS,3,3.33999991416931
EQLS3PL1,EQLS,3,3.33999991416931
EQLS3PL1,EQLS,3,3.39000010490418
EQLS3PL1,EQLS,3,3.48000001907349
EQLS3PL1,EQLS,3,3.48000001907349
EQLS3PL1,EQLS,3,3.48000001907349
EQLS3PL1,EQLS,3,3.48000001907349
EQLS3PL1,EQLS,3,3.48000001907349
EQLS3PL1,EQLS,3,3.48000001907349
EQLS3PL1,EQLS,3,3.48000001907349
EQLS3PL1,EQLS,3,3.48000001907349
EQLS3PL1,EQLS,3,3.48000001907349
EQLS3PL1,EQLS,3,3.48000001907349
EQLS3PL1,EQLS,3,3.48000001907349
EQLS3PL1,EQLS,3,3.48000001907349
EQLS3PL1,EQLS,3,3.48000001907349
EQLS3PL1,EQLS,3,3.48000001907349
EQLS3PL1,EQLS,3,3.53999996185303
EQLS3PL1,EQLS,3,3.58999991416931
EQLS3PL1,EQLS,3,3.63000011444092
EQLS3PL1,EQLS,3,3.67000007629395
EQLS3PL1,EQLS,3,3.67000007629395
