t_survey_name,t_survey_edition,t_country_l1u,t_country_year,survey,t_gender,hhinc_mean,persinc_mean,hhinc_prop_mis,persinc_prop_mis,hhinc_kurt,hhinc_skew,hhinc_scale_length,persinc_kurt,persinc_skew,persinc_scale_length,pcor_hhinc_persinc,scor_hhinc_persinc,scor_persinc_edu,scor_persinc_yrsedu,scor_hhinc_edu,scor_hhinc_yrsedu,scor_edu_yrsedu,n
ABS,1,CN,2002,ABS1CN1,0,67.239041731625,,0,1,-0.497942014736054,-0.94980159240905,5,,,,,,,,0.374278791471997,0.372627341284007,0.899841724457702,1608
ABS,1,CN,2002,ABS1CN1,1,62.3791787719248,,0,1,-0.807216403804776,-0.830357700436968,5,,,,,,,,0.3393049637405,0.363548498154841,0.926349237899517,1575
ABS,1,HK,2001,ABS1HK1,0,44.7208143638198,,0.127371273712737,1,-0.93529930076138,0.253876020680779,5,,,,,,,,0.511240659609262,0.558926856205633,0.948434897210145,369
ABS,1,HK,2001,ABS1HK1,1,42.2826809278067,,0.0972850678733032,1,-0.957510347724634,0.310770146615357,5,,,,,,,,0.54922509826658,0.543631354244719,0.947211696421145,442
ABS,1,JP,2003,ABS1JP1,0,47.9040177133775,,0.230529595015576,1,-1.01783624850625,0.0917033024578052,5,,,,,,,,0.255834847696577,0.26754291503975,0.945824718953073,642
ABS,1,JP,2003,ABS1JP1,1,46.9866755128964,,0.302835051546392,1,-0.98309351880306,-0.0790947121859403,5,,,,,,,,0.347003662783217,0.410921953365442,0.930819203346443,776
ABS,1,KR,2003,ABS1KR1,0,31.3943894389439,,0.185483870967742,1,9.6586804722687e-05,0.588303438433308,5,,,,,,,,0.310107134342715,0.301670311218982,0.948448862888521,744
ABS,1,KR,2003,ABS1KR1,1,32.4290484140234,,0.207671957671958,1,0.055552721325757,0.502459309038547,5,,,,,,,,0.372997647683828,0.380034079390877,0.976276395669406,756
ABS,1,MN,2002,ABS1MN1,0,54.772063651698,,0.044362292051756,1,-1.41278827524656,-0.294798674956817,5,,,,,,,,0.228898483669984,0.211601909301989,0.503384066946272,541
ABS,1,MN,2002,ABS1MN1,1,51.4938047084165,,0.0265339966832504,1,-1.5223363850046,-0.229500723147665,5,,,,,,,,0.221674229636121,0.223010687984483,0.54780919654671,603
ABS,1,PH,2002,ABS1PH1,0,19.1728289590866,,0.0266666666666667,1,0.990195121113078,1.33606985894403,5,,,,,,,,0.449895573044942,0.483601344784814,0.861426044427594,600
ABS,1,PH,2002,ABS1PH1,1,16.8187313502868,,0.0333333333333333,1,1.65893033138661,1.4599303381072,5,,,,,,,,0.408522092651529,0.443206475146767,0.896925226976901,600
ABS,1,TH,2002,ABS1TH1,0,41.4149480902205,,0.00418994413407821,1,-0.498708046477641,0.68704528890393,5,,,,,,,,0.478069299992676,0.471325101202148,0.895684335040235,716
ABS,1,TH,2002,ABS1TH1,1,38.7705662319737,,0.00608272506082725,1,-0.545663000380461,0.601128457148849,5,,,,,,,,0.442318223781367,0.426967646438332,0.862515607081033,822
ABS,1,TW,2001,ABS1TW1,0,28.4689139791209,,0.0552325581395349,1,-0.404770297856792,0.787115808213305,5,,,,,,,,0.472154862698223,0.447136217414313,0.939975428808068,688
ABS,1,TW,2001,ABS1TW1,1,26.4632804094672,,0.0921595598349381,1,-0.0674966762777989,0.925880717186188,5,,,,,,,,0.509191578297862,0.470711801070104,0.953944690627806,727
ABS,2,CN,2008,ABS2CN1,0,52.0740528599251,,0.895688991531948,1,-1.40925451712927,0.0429962136208033,5,,,,,,,,0.428238553298429,0.420577529692472,0.940065225638505,2598
ABS,2,CN,2008,ABS2CN1,1,48.5008189266936,,0.882115462252725,1,-1.28911009883111,0.0832877350673,5,,,,,,,,0.382619018393502,0.392099055030379,0.95622726999647,2477
ABS,2,HK,2007,ABS2HK1,0,43.1686046511628,,0.11340206185567,1,-1.07242446153294,0.345485436733798,5,,,,,,,,0.407495397370036,,,388
ABS,2,HK,2007,ABS2HK1,1,40.5637254901961,,0.114967462039046,1,-1.06781211040204,0.36398094980668,5,,,,,,,,0.403059287216724,,,461
ABS,2,ID,2006,ABS2ID1,0,52.1303258145364,,0.00125156445556946,1,-1.44989049760359,-0.0646590032204199,5,,,,,,,,0.499076871309915,0.477407798681534,0.944493629327609,799
ABS,2,ID,2006,ABS2ID1,1,50.5667506297229,,0.00625782227784731,1,-1.40059324786198,0.0146063018877916,5,,,,,,,,0.473174646786786,0.414852433468293,0.943605061460386,799
ABS,2,JP,2007,ABS2JP1,0,54.9779514679931,,0.182178217821782,1,-1.30615892861777,-0.111818255154165,5,,,,,,,,0.334826862483423,0.366855928868703,0.939479433153182,505
ABS,2,JP,2007,ABS2JP1,1,51.8124649626957,,0.272241992882562,1,-1.37289954723184,0.0242337912934506,5,,,,,,,,0.407451864747533,0.437240331792587,0.930209287847721,562
ABS,2,KH,2008,ABS2KH1,0,45.1731759365829,,0,1,-0.841679223738935,0.41005677919741,5,,,,,,,,0.219699793070535,0.270290950689706,0.864400048011114,500
ABS,2,KH,2008,ABS2KH1,1,45.9067912484172,,0,1,-0.87684529516837,0.285012597315605,5,,,,,,,,0.262124658327836,0.270698824351001,0.803811156297673,500
ABS,2,KR,2006,ABS2KR1,0,52.6663530207438,,0.0722689075630252,1,-0.947615233442502,0.104039715673433,5,,,,,,,,0.268933559648974,,,595
ABS,2,KR,2006,ABS2KR1,1,52.8205558053043,,0.0940032414910859,1,-0.970220725593429,-0.0330224018994631,5,,,,,,,,0.458361866331486,,,617
