model,LL,df,BIC,ABIC,CAIC,LLR,entrop
1,-3571.97070421458,492,7285.2035180582,7224.84291416324,7304.2035180582,386.260764914557,0.787
2,-3532.23382138298,482,7280.07823114711,7187.94888836007,7309.07823114711,318.039330133258,0.756
3,-3503.41635632451,472,7296.79177978229,7172.89369810317,7335.79177978229,264.163230599095,0.68
4,-3494.05535355138,462,7352.41825298815,7196.75143241695,7401.41825298815,249.726844967699,0.624
5,-3486.55900729137,452,7411.77403922024,7224.33847975696,7470.77403922024,234.513333225612,0.632
