t_survey_name,t_survey_edition,t_country_l1u,t_country_year,survey,hhinc_mean,persinc_mean,hhinc_prop_mis,persinc_prop_mis,hhinc_kurt,hhinc_skew,hhinc_scale_length,persinc_kurt,persinc_skew,persinc_scale_length,pcor_hhinc_persinc,scor_hhinc_persinc,scor_persinc_edu,scor_persinc_yrsedu,scor_hhinc_edu,scor_hhinc_yrsedu,scor_edu_yrsedu,n
CB,2011,AZ,2011,CB2011AZ1,58.4941962914989,35.924294767433,0.0506414584740041,0.0330857528696827,0.733636102668366,-0.100437883573612,8,-1.01034155234077,-0.228764453203308,8,0.366173977239903,0.387074984348447,0.18926733244317,0.178020115193361,0.275851006682065,0.339868521929856,0.740587565035921,1481
CB,2011,GE,2011,CB2011GE1,33.602824555677,18.7346363987724,0.134674245736773,0.0437254044599913,4.07018513981478,1.49803979493016,8,1.12771946693692,0.61027197911984,8,0.376827517497832,0.318624163637362,0.109411849507533,0.103351774423159,0.290311055029096,0.278275282389252,0.805132007238811,2287
CB,2012,AM,2012,CB2012AM1,44.0682337127729,24.5083866789076,0.123741610738255,0.0562080536912752,0.583740991690141,-0.00284139357179002,8,-0.336356210740055,0.376468647570367,8,0.417386627555483,0.384042876368752,0.191968452102765,0.198956851546112,0.269762064527447,0.269920655115459,0.737239418969792,2384
CB,2012,AZ,2012,CB2012AZ1,59.9337529479183,31.9085563890379,0.0792782941498086,0.0191361399671952,1.03675730595911,-0.148520930542266,8,-1.23422166973819,0.00531058239414185,8,0.362476395997795,0.358249677852627,0.215583010888445,0.207262291254367,0.275481653957384,0.290991474204799,0.738496549399512,1829
CB,2012,GE,2012,CB2012GE1,45.5789356318823,25.488222933575,0.125099920063949,0.0463629096722622,0.621636407230426,0.402428629436614,8,-0.177104628384352,0.45277416228628,8,0.389524492206238,0.353333710392205,0.205742580002065,0.205132242028618,0.310787339386499,0.309814712679959,0.780575814496669,2502
CDCEE,1,BG,1990,CDCEE1BG1,,36.9285019455253,1,0.042830540037244,,,,-0.363758924341779,0.00970447109755258,9,,,0.0807857574969677,,,,,1074
CDCEE,1,CZ,1990,CDCEE1CZ1,,40.962441314554,1,0.0589101620029455,,,,-0.430166946230471,0.0119201854586587,9,,,0.137629288566636,,,,,679
CDCEE,1,DE-E,1992,CDCEE1DE-E1,,34.0226503529595,1,0.0524379024839007,,,,-0.506431830070371,0.2355912057215,10,,,0.267414741290239,,,,,1087
CDCEE,1,EE,1991,CDCEE1EE1,,34.7204534849234,1,0.0413573700954401,,,,-0.109202319481168,0.0661077733874519,10,,,,,,,,943
CDCEE,1,HU,1990,CDCEE1HU1,,40.6880570158666,1,0.0407204385277995,,,,-0.478652755625664,0.179223661960019,8,,,0.327503106769903,,,,,1277
CDCEE,1,LT,1991,CDCEE1LT1,,33.8584595302835,1,0.0806100217864924,,,,-0.368826319234762,0.174031016072212,10,,,-0.0281139420745317,,,,,918
CDCEE,1,PL,1991,CDCEE1PL1,,36.4512974218501,1,0.0272034820457019,,,,-0.192060094319286,-0.0766977397321745,10,,,,,,,,919
CDCEE,1,RO,1990,CDCEE1RO1,,36.3482367858958,1,0.13128038897893,,,,-0.0687066764900428,0.31941938837563,10,,,0.234546763332992,,,,,1234
CDCEE,1,RU-KRA,1991,CDCEE1RU-KRA1,,34.6957606083638,1,0.127946127946128,,,,0.422267195679089,0.245203722724364,10,,,0.134140488330605,,,,,1485
CDCEE,1,SI,1991,CDCEE1SI1,,48.1307703128405,1,0.0918367346938776,,,,-0.107956680871331,-0.335959314243454,8,,,0.423691545647817,,,,,686
CDCEE,1,SK,1990,CDCEE1SK1,,41.7443830688278,1,0.0493827160493827,,,,-0.640116671326998,0.0548938987604477,8,,,0.184655822236458,,,,,324
CDCEE,1,UA,1991,CDCEE1UA1,,31.8946540880503,1,0.085681426106958,,,,-0.273497569249467,0.21849439892901,9,,,0.157977215805986,,,,,1739
CDCEE,2,BG,1999,CDCEE2BG1,,26.0344521862199,1,0.0734573947110676,,,,-0.299907376427959,0.525317528780696,9,,,0.424026705171206,0.42345731821431,,,0.855443947164845,1021
CDCEE,2,BY,1998,CDCEE2BY1,,39.3050902860198,1,0.059,,,,0.0422352270682533,0.359567685104456,8,,,0.215806768531576,0.207892123413293,,,0.73332897438357,1000
CDCEE,2,CZ,2001,CDCEE2CZ1,,42.7291886195996,1,0.0547808764940239,,,,-0.293273230992534,0.0431621679969437,9,,,0.258624912773881,0.347553104535046,,,0.614310402704272,1004
CDCEE,2,DE-E,2000,CDCEE2DE-E1,,36.9177192491879,1,0.0503455083909181,,,,-0.0536139920744487,0.33438413560176,10,,,0.0956641820420638,0.118243124916757,,,0.800033312787289,1013
CDCEE,2,DE-W,2000,CDCEE2DE-W1,,46.1360810273595,1,0.0273972602739726,,,,-0.0702295462704923,-0.648089725886495,11,,,0.141597376859009,0.148744185694384,,,0.806990058618447,1022
CDCEE,2,EE,2001,CDCEE2EE1,,37.5431195641427,1,0.072,,,,-0.195962454437057,0.359154959857915,8,,,0.327309812549303,0.220513558424933,,,0.672932721242905,1000
CDCEE,2,HU,1999,CDCEE2HU1,,36.5762955854127,1,0.0405156537753223,,,,-0.237559980109181,0.0968443235161437,9,,,0.319340617787259,,,,,1086
CDCEE,2,LT,2001,CDCEE2LT1,,33.9427575270929,1,0.109452736318408,,,,-0.66650133664209,0.337639136465434,8,,,0.312603801341102,0.241302167713808,,,0.564573413247307,1005
CDCEE,2,LV,1998,CDCEE2LV1,,31.6113627122514,1,0.0327570518653321,,,,-0.0696533568552122,0.342913502924426,10,,,0.21882917332929,0.150638944629787,,,0.657645648087591,1099
CDCEE,2,PL,2000,CDCEE2PL1,,33.1914262793738,1,0.0248356464572681,,,,-0.595818426529472,0.065003815351027,10,,,0.216669209512887,0.184386477223839,,,0.845699053967643,1369
CDCEE,2,RO,1998,CDCEE2RO1,,24.0255046983473,1,0.0571192052980133,,,,-0.237342313406903,0.598072337710099,10,,,0.285791093461293,0.344962255065801,,,0.593633510746039,1208
CDCEE,2,RU,1998,CDCEE2RU1,,16.290403193269,1,0.00933333333333333,,,,-0.686217755181099,0.587069370784266,11,,,0.192636755128789,0.244847114837214,,,0.6075960343726,1500
