idno,cntry,pspwght,polintr,nwspol,vote,contplt,wrkprty,wrkorg,badge,sgnptit,pbldmn,bctprd,pstplonl,eduyrs,eisced,isco08,domicil,agea,gndr,hincfel,hinctnta,hhmmb,female,city,age,age_10,hhsize5
8712,PL,0.937976479530334,1,1,2,2,1,2,2,2,2,1,1,12,4,4321,1,22,1,2,10,4,0,1,22,2.2,4
8714,PL,1.12145507335663,1,1,2,1,1,1,1,1,1,1,1,18,7,1330,1,36,1,3,10,4,0,1,36,3.6,4
8715,PL,1.03888261318207,1,1,,1,1,1,2,2,2,1,1,9,2,,1,16,2,2,5,3,1,1,16,1.6,3
8721,PL,0.966710329055786,1,2,1,1,1,1,1,1,1,1,1,8,2,9329,3,54,1,1,1,1,0,0,54,5.4,1
8732,PL,1.06497168540955,1,2,,1,1,1,1,1,1,1,1,7,1,,3,15,1,3,9,3,0,0,15,1.5,3
8733,PL,1.06016361713409,1,2,2,1,1,1,1,1,1,1,1,11,2,9112,4,49,1,2,1,2,0,0,49,4.9,2
8737,PL,1.13816332817078,2,2,2,2,1,1,2,2,2,1,1,14,5,4132,4,58,2,2,4,1,1,0,58,5.8,1
8749,PL,1.07219123840332,1,2,2,1,1,1,1,1,1,1,1,10,2,7126,1,67,1,2,2,3,0,1,67,6.7,3
8754,PL,0.97851288318634,1,2,2,1,1,1,1,1,1,1,1,7,2,6130,4,81,1,2,,2,0,0,81,8.1,2
8764,PL,1.05741250514984,1,1,2,1,1,1,1,2,1,1,1,13,4,5120,3,43,2,2,8,7,1,0,43,4.3,5
8767,PL,0.921361804008484,1,2,,1,1,1,1,1,1,1,1,8,1,,3,15,2,1,1,5,1,0,15,1.5,5
8778,PL,1.01223468780518,1,2,2,1,1,1,1,1,1,1,1,10,2,4321,1,69,2,1,2,3,1,1,69,6.9,3
8780,PL,0.945071399211884,1,1,2,1,1,1,1,1,1,1,1,17,7,1321,3,35,2,3,,4,1,0,35,3.5,4
8782,PL,1.19279050827026,1,2,2,1,1,1,1,1,1,1,1,11,2,,4,63,2,2,,2,1,0,63,6.3,2
8788,PL,1.10964584350586,1,2,2,1,1,1,1,1,1,1,1,9,2,5230,4,81,2,1,1,1,1,0,81,8.1,1
8792,PL,1.09357273578644,1,2,2,1,1,1,1,1,1,1,1,14,3,3114,3,44,1,2,7,3,0,0,44,4.4,3
8794,PL,1.30510139465332,1,2,1,1,1,2,1,2,1,1,1,11,2,8341,4,51,1,1,2,4,0,0,51,5.1,4
8798,PL,0.798269987106323,1,1,2,2,1,1,1,1,1,1,1,18,7,2422,3,61,1,2,7,2,0,0,61,6.1,2
8801,PL,1.0525062084198,1,1,1,1,1,1,1,1,1,1,1,11,2,7511,4,41,2,1,9,3,1,0,41,4.1,3
8803,PL,1.25710153579712,1,1,2,1,1,1,1,1,1,1,1,13,4,,3,20,2,2,1,5,1,0,20,2,5
8808,PL,1.13357949256897,1,2,2,1,1,1,1,1,1,1,1,14,4,5223,4,25,2,1,2,3,1,0,25,2.5,3
8823,PL,0.819465517997742,2,2,2,1,1,1,1,1,1,1,1,16,6,1321,3,78,1,2,3,2,0,0,78,7.8,2
8824,PL,1.00685751438141,1,2,2,1,1,1,1,1,1,1,1,8,2,4120,3,81,2,1,2,1,1,0,81,8.1,1
8826,PL,1.04976630210876,1,2,2,2,1,1,1,1,1,2,2,16,6,2144,1,69,1,2,,3,0,1,69,6.9,3
8830,PL,0.996630728244781,1,2,2,1,1,1,1,1,1,1,1,12,4,3333,3,82,2,1,2,1,1,0,82,8.2,1
8832,PL,0.766631364822388,1,2,2,1,1,1,1,1,1,1,1,11,2,6113,4,50,2,1,,2,1,0,50,5,2
8839,PL,1.09106361865997,1,2,2,1,1,1,1,1,1,1,1,11,3,4412,1,55,2,1,,2,1,1,55,5.5,2
8840,PL,0.71273535490036,1,2,2,1,1,1,1,1,1,1,1,13,4,8311,4,61,1,2,5,2,0,0,61,6.1,2
8843,PL,0.998783946037292,1,2,2,1,1,1,1,1,1,1,1,17,7,1420,1,42,1,2,8,4,0,1,42,4.2,4
8848,PL,1.12914741039276,1,1,2,1,1,1,1,2,2,2,2,18,7,2222,1,40,2,1,4,2,1,1,40,4,2
8850,PL,1.07360327243805,1,1,2,1,1,1,1,1,1,1,1,12,4,5329,1,63,2,2,5,2,1,1,63,6.3,2
8856,PL,1.09930765628815,1,2,1,1,1,1,1,1,1,1,1,12,3,3221,1,42,2,2,5,4,1,1,42,4.2,4
8857,PL,1.15445721149445,1,2,2,1,1,1,1,2,2,1,1,13,4,3321,1,25,1,2,9,4,0,1,25,2.5,4
8859,PL,0.921539664268494,2,1,1,1,1,1,1,1,1,1,1,9,2,3122,4,25,2,1,1,4,1,0,25,2.5,4
8863,PL,1.2034467458725,1,1,2,1,1,1,1,2,1,2,1,17,7,2330,1,38,2,2,3,3,1,1,38,3.8,3
8867,PL,1.13816332817078,1,2,2,1,1,1,1,1,1,1,1,11,2,5329,4,62,2,2,,3,1,0,62,6.2,3
8878,PL,0.97851288318634,1,2,2,1,1,1,1,1,1,1,1,11,4,1213,4,81,1,1,5,2,0,0,81,8.1,2
8881,PL,0.907620489597321,1,2,1,1,1,1,1,1,1,1,1,12,3,4416,4,31,2,2,,4,1,0,31,3.1,4
